fid,Fecha,Class,Foto,Lon,Lat,type,villages
"1",2021/08/08,Vegetation,DCIM/cobertura_20210808093048755.jpg,-73.3365,-3.8655,cobertura,PENA NEGRA
"2",2021/08/08,Vegetation,DCIM/cobertura_20210808093302872.jpg,-73.3358,-3.8661,cobertura,PENA NEGRA
"3",2021/08/08,Vegetation,DCIM/cobertura_20210808093931649.jpg,-73.3365,-3.8649,cobertura,PENA NEGRA
"4",2021/08/08,Water bodies,DCIM/cobertura_20210808095521246.jpg,-73.3423,-3.866,cobertura,PENA NEGRA
"5",2021/08/08,Vegetation,DCIM/cobertura_20210808100032167.jpg,-73.3429,-3.8672,cobertura,PENA NEGRA
"6",2021/08/08,Vegetation,DCIM/cobertura_20210808100631336.jpg,-73.3422,-3.8686,cobertura,PENA NEGRA
"7",2021/08/08,Vegetation,DCIM/cobertura_20210808101102433.jpg,-73.3426,-3.8668,cobertura,PENA NEGRA
"8",2021/08/08,Vegetation,DCIM/JPEG_20210808143512640.jpg,-73.337,-3.8614,cobertura,PENA NEGRA
"9",2021/08/08,Road,DCIM/JPEG_20210808143717050.jpg,-73.3374,-3.8616,cobertura,PENA NEGRA
"10",2021/08/08,Vegetation,DCIM/JPEG_20210808144556113.jpg,-73.3377,-3.8617,cobertura,PENA NEGRA
"11",2021/08/08,Roofing material,DCIM/JPEG_20210808145215776.jpg,-73.3377,-3.8625,cobertura,PENA NEGRA
"12",2021/08/08,Vegetation,DCIM/JPEG_20210808145727354.jpg,-73.3372,-3.8621,cobertura,PENA NEGRA
"13",2021/08/08,Roofing material,DCIM/JPEG_20210808145847840.jpg,-73.3372,-3.8635,cobertura,PENA NEGRA
"14",2021/08/08,Vegetation,DCIM/JPEG_20210808150111679.jpg,-73.3369,-3.8622,cobertura,PENA NEGRA
"15",2021/08/08,Water bodies,DCIM/JPEG_20210808160834155.jpg,-73.3423,-3.8737,cobertura,SAN CIRILO
"16",2021/08/08,Vegetation,DCIM/JPEG_20210808161055289.jpg,-73.3429,-3.8734,cobertura,SAN CIRILO
"17",2021/08/08,Vegetation,DCIM/JPEG_20210808162654750.jpg,-73.3357,-3.8746,cobertura,PENA NEGRA
"18",2021/08/08,Vegetation,DCIM/JPEG_20210808164113200.jpg,-73.3359,-3.8687,cobertura,PENA NEGRA
"19",2021/08/08,Vegetation,DCIM/JPEG_20210808164214803.jpg,-73.3348,-3.8704,cobertura,PENA NEGRA
"20",2021/08/08,Road,DCIM/JPEG_20210808143310112.jpg,-73.3372,-3.8622,cobertura,PENA NEGRA
"21",2021/08/08,Vegetation,DCIM/JPEG_20210808160515994.jpg,-73.3423,-3.8731,cobertura,SAN CIRILO
"22",2021/08/08,Vegetation,DCIM/JPEG_20210808162654780.jpg,-73.336,-3.8749,cobertura,PENA NEGRA
"23",2021/08/07,Roofing material,DCIM/JPEG_20210807163906911.jpg,-73.3518,-3.8943,cobertura,VARILLAL
"24",2021/08/07,Roofing material,DCIM/JPEG_20210807165333941.jpg,-73.3512,-3.8948,cobertura,VARILLAL
"25",2021/08/07,Road,DCIM/JPEG_20210807165731734.jpg,-73.3514,-3.8956,cobertura,VARILLAL
"26",2021/08/07,Roofing material,DCIM/JPEG_20210807172149635.jpg,-73.3508,-3.8967,cobertura,VARILLAL
"27",2021/08/07,Vegetation,DCIM/JPEG_20210807172502529.jpg,-73.3503,-3.8958,cobertura,VARILLAL
"28",2021/08/07,Water bodies,DCIM/JPEG_20210807172744065.jpg,-73.3506,-3.8971,cobertura,VARILLAL
"29",2021/08/07,Vegetation,DCIM/JPEG_20210807173111583.jpg,-73.3513,-3.8956,cobertura,VARILLAL
"30",2021/08/07,Roofing material,DCIM/JPEG_20210807173315058.jpg,-73.3519,-3.8956,cobertura,VARILLAL
"31",2021/08/07,Vegetation,DCIM/JPEG_20210807173437621.jpg,-73.3518,-3.8962,cobertura,VARILLAL
"32",2021/08/07,Road,DCIM/JPEG_20210807173757882.jpg,-73.3526,-3.8979,cobertura,VARILLAL
"33",2021/08/07,Roofing material,DCIM/JPEG_20210807195918536.jpg,-73.3543,-3.8985,cobertura,VARILLAL
"34",2021/08/07,Water bodies,DCIM/JPEG_20210807200507523.jpg,-73.3548,-3.8986,cobertura,VARILLAL
"35",2021/08/07,Roofing material,DCIM/JPEG_20210807201242424.jpg,-73.3547,-3.8998,cobertura,VARILLAL
"36",2021/08/07,Vegetation,DCIM/JPEG_20210807201714035.jpg,-73.3549,-3.8985,cobertura,VARILLAL
"37",2021/08/07,Vegetation,DCIM/JPEG_20210807203906910.jpg,-73.3526,-3.9079,cobertura,VARILLAL
"38",2021/08/07,Road,DCIM/JPEG_20210807204515271.jpg,-73.3558,-3.9034,cobertura,VARILLAL
"39",2021/08/07,Vegetation,DCIM/JPEG_20210807204554010.jpg,-73.3568,-3.9025,cobertura,VARILLAL
"40",2021/08/07,Vegetation,DCIM/JPEG_20210807204640276.jpg,-73.3581,-3.9009,cobertura,VARILLAL
"41",2021/08/07,Vegetation,DCIM/JPEG_20210807204935980.jpg,-73.3514,-3.9024,cobertura,VARILLAL
"42",2021/08/10,Vegetation,DCIM/JPEG_20210810203922829.jpg,-73.3515,-3.8992,cobertura,VARILLAL
"43",2021/08/10,Vegetation,DCIM/JPEG_20210810204804237.jpg,-73.3505,-3.8985,cobertura,VARILLAL
"44",2021/08/10,Vegetation,DCIM/JPEG_20210810205222556.jpg,-73.3533,-3.8957,cobertura,VARILLAL
"45",2021/08/10,Road,DCIM/JPEG_20210810201512793.jpg,-73.3542,-3.8967,cobertura,VARILLAL
"46",2021/08/10,Vegetation,DCIM/JPEG_20210810210827453.jpg,-73.3523,-3.8983,cobertura,VARILLAL
"47",2021/08/10,Water bodies,DCIM/JPEG_20210810211317911.jpg,-73.3528,-3.8997,cobertura,VARILLAL
"48",2021/08/10,Vegetation,DCIM/JPEG_20210810211838862.jpg,-73.3534,-3.9003,cobertura,VARILLAL
"49",2021/08/10,Vegetation,DCIM/JPEG_20210810211956923.jpg,-73.3538,-3.9004,cobertura,VARILLAL
"50",2021/08/10,Vegetation,DCIM/JPEG_20210810212140226.jpg,-73.3544,-3.9005,cobertura,VARILLAL
"51",2021/08/10,Vegetation,DCIM/JPEG_20210810213045971.jpg,-73.3548,-3.898,cobertura,VARILLAL
"52",2021/08/10,Vegetation,DCIM/JPEG_20210810213224058.jpg,-73.3548,-3.8971,cobertura,VARILLAL
"53",2021/08/10,Vegetation,DCIM/JPEG_20210810213454407.jpg,-73.3542,-3.8975,cobertura,VARILLAL
"54",2021/08/11,Road,DCIM/JPEG_20210811142720988.jpg,-73.3935,-3.9343,cobertura,SAN JOSE
"55",2021/08/11,Vegetation,DCIM/JPEG_20210811142929170.jpg,-73.3929,-3.9336,cobertura,SAN JOSE
"56",2021/08/11,Vegetation,DCIM/JPEG_20210811144155852.jpg,-73.3911,-3.9355,cobertura,SAN JOSE
"57",2021/08/11,Water bodies,DCIM/JPEG_20210811144512608.jpg,-73.3918,-3.9364,cobertura,SAN JOSE
"58",2021/08/11,Vegetation,DCIM/JPEG_20210811144608330.jpg,-73.3927,-3.9357,cobertura,SAN JOSE
"59",2021/08/11,Road,DCIM/JPEG_20210811144655301.jpg,-73.3931,-3.9369,cobertura,SAN JOSE
"60",2021/08/11,Vegetation,DCIM/JPEG_20210811145009682.jpg,-73.3898,-3.9349,cobertura,SAN JOSE
"61",2021/08/11,Roofing material,DCIM/JPEG_20210811185739858.jpg,-73.3428,-3.8402,cobertura,LOS DELFINES
"62",2021/08/11,Water bodies,DCIM/JPEG_20210811190639827.jpg,-73.3419,-3.8408,cobertura,LOS DELFINES
"63",2021/08/11,Vegetation,DCIM/JPEG_20210811191143284.jpg,-73.3408,-3.8394,cobertura,LOS DELFINES
