fid,Latitud,Longitud,Fecha,foto,class,type
1,-3.8603,-73.4134,2023-03-25,DCIM/cobertura_20230325150624086.jpg,Vegetation,cobertura
2,-3.861,-73.4121,2023-03-25,DCIM/cobertura_20230325151240054.jpg,Vegetation,cobertura
3,-3.8606,-73.4115,2023-03-25,DCIM/cobertura_20230325151555560.jpg,Vegetation,cobertura
4,-3.8583,-73.4118,2023-03-25,DCIM/cobertura_20230325152307041.jpg,Vegetation,cobertura
5,-3.8575,-73.4116,2023-03-25,DCIM/cobertura_20230325152505820.jpg,Vegetation,cobertura
6,-3.8569,-73.4096,2023-03-25,DCIM/cobertura_20230325153054067.jpg,Water bodies,cobertura
7,-3.8581,-73.4103,2023-03-25,DCIM/cobertura_20230325153501631.jpg,Vegetation,cobertura
8,-4.2182,-73.484,2023-03-26,DCIM/cobertura_20230326121218783.jpg,Vegetation,cobertura
9,-4.2194,-73.4835,2023-03-26,DCIM/cobertura_20230326122335972.jpg,Vegetation,cobertura
10,-4.2194,-73.4842,2023-03-26,DCIM/cobertura_20230326122637575.jpg,Vegetation,cobertura
11,-4.2211,-73.4835,2023-03-26,DCIM/cobertura_20230326124444034.jpg,Water bodies,cobertura
12,-4.2211,-73.4846,2023-03-26,DCIM/cobertura_20230326124644799.jpg,Vegetation,cobertura
13,-3.9605,-73.343,2023-03-29,DCIM/cobertura_20230329090636456.jpg,Water bodies,cobertura
14,-3.96,-73.3431,2023-03-29,DCIM/cobertura_20230329090828417.jpg,Vegetation,cobertura
15,-3.9598,-73.3426,2023-03-29,DCIM/cobertura_20230329090956091.jpg,Vegetation,cobertura
16,-3.9594,-73.3427,2023-03-29,DCIM/cobertura_20230329091236501.jpg,Vegetation,cobertura
17,-3.9592,-73.343,2023-03-29,DCIM/cobertura_20230329091328532.jpg,Vegetation,cobertura
18,-3.9584,-73.3433,2023-03-29,DCIM/cobertura_20230329091507395.jpg,Vegetation,cobertura
19,-3.9585,-73.3446,2023-03-29,DCIM/cobertura_20230329092128799.jpg,Vegetation,cobertura
20,-3.9594,-73.3453,2023-03-29,DCIM/cobertura_20230329092238856.jpg,Vegetation,cobertura
21,-4.1506,-73.4569,2023-03-29,DCIM/cobertura_20230329132611719.jpg,Vegetation,cobertura
22,-4.1506,-73.4571,2023-03-29,DCIM/cobertura_20230329132741895.jpg,Vegetation,cobertura
23,-4.1502,-73.4573,2023-03-29,DCIM/cobertura_20230329132906621.jpg,Vegetation,cobertura
24,-4.1498,-73.4575,2023-03-29,DCIM/cobertura_20230329132930414.jpg,Vegetation,cobertura
25,-4.15,-73.4581,2023-03-29,DCIM/cobertura_20230329133726017.jpg,Vegetation,cobertura
26,-4.1498,-73.4583,2023-03-29,DCIM/cobertura_20230329133837479.jpg,Vegetation,cobertura
27,-4.1497,-73.4586,2023-03-29,DCIM/cobertura_20230329133948039.jpg,Vegetation,cobertura
28,-4.1498,-73.4587,2023-03-29,DCIM/cobertura_20230329134032014.jpg,Vegetation,cobertura
29,-4.1053,-73.4533,2023-03-30,DCIM/cobertura_20230330101052485.jpg,Vegetation,cobertura
30,-4.0418,-73.4371,2023-03-30,DCIM/cobertura_20230330161532956.jpg,Vegetation,cobertura
31,-4.0411,-73.437,2023-03-30,DCIM/cobertura_20230330161812320.jpg,Vegetation,cobertura
32,-4.0433,-73.4378,2023-03-30,DCIM/cobertura_20230330162606684.jpg,Vegetation,cobertura
33,-3.8929,-73.3515,2023-03-31,DCIM/cobertura_20230331150945158.jpg,Vegetation,cobertura
34,-3.892,-73.352,2023-03-31,DCIM/cobertura_20230331151046320.jpg,Vegetation,cobertura
35,-3.8929,-73.3525,2023-03-31,DCIM/cobertura_20230331151446176.jpg,Vegetation,cobertura
36,-3.8921,-73.3529,2023-03-31,DCIM/cobertura_20230331151658558.jpg,Vegetation,cobertura
37,-3.8917,-73.3521,2023-03-31,DCIM/cobertura_20230331151729453.jpg,Vegetation,cobertura
38,-3.892,-73.3532,2023-03-31,DCIM/cobertura_20230331151935984.jpg,Vegetation,cobertura
39,-3.8911,-73.3533,2023-03-31,DCIM/cobertura_20230331152140634.jpg,Vegetation,cobertura
40,-3.8898,-73.3534,2023-03-31,DCIM/cobertura_20230331152658103.jpg,Vegetation,cobertura
41,-3.8895,-73.3521,2023-03-31,DCIM/cobertura_20230331153034565.jpg,Water bodies,cobertura
42,-3.8911,-73.352,2023-03-31,DCIM/cobertura_20230331153416225.jpg,Vegetation,cobertura
43,-3.8936,-73.3513,2023-03-31,DCIM/cobertura_20230331154413601.jpg,Vegetation,cobertura
44,-3.8975,-73.3532,2023-03-31,DCIM/cobertura_20230331155726812.jpg,Vegetation,cobertura
45,-3.8971,-73.3521,2023-03-31,DCIM/cobertura_20230331155834949.jpg,Vegetation,cobertura
46,-3.8964,-73.3517,2023-03-31,DCIM/cobertura_20230331155905492.jpg,Vegetation,cobertura
47,-3.8997,-73.3524,2023-03-31,DCIM/cobertura_20230331160454245.jpg,Water bodies,cobertura
48,-3.8997,-73.3542,2023-03-31,DCIM/cobertura_20230331160812573.jpg,Vegetation,cobertura
49,-3.8993,-73.3552,2023-03-31,DCIM/cobertura_20230331161132656.jpg,Vegetation,cobertura
50,-3.8979,-73.3558,2023-03-31,DCIM/cobertura_20230331161344469.jpg,Vegetation,cobertura
51,-3.8965,-73.3554,2023-03-31,DCIM/cobertura_20230331161542432.jpg,Vegetation,cobertura
52,-3.8272,-73.352,2023-04-02,DCIM/cobertura_20230402150555709.jpg,Vegetation,cobertura
53,-3.8266,-73.3518,2023-04-02,DCIM/cobertura_20230402150715882.jpg,Vegetation,cobertura
54,-3.8267,-73.3531,2023-04-02,DCIM/cobertura_20230402151343049.jpg,Vegetation,cobertura
55,-3.8268,-73.3529,2023-04-02,DCIM/cobertura_20230402151537333.jpg,Vegetation,cobertura
56,-3.8272,-73.354,2023-04-02,DCIM/cobertura_20230402151601829.jpg,Vegetation,cobertura
57,-3.8278,-73.3553,2023-04-02,DCIM/cobertura_20230402152049128.jpg,Vegetation,cobertura
58,-3.8274,-73.356,2023-04-02,DCIM/cobertura_20230402152312820.jpg,Vegetation,cobertura
59,-3.8291,-73.3565,2023-04-02,DCIM/cobertura_20230402152632401.jpg,Vegetation,cobertura
60,-3.8579,-73.409,2023-03-25,DCIM/cobertura_20230325151652529.jpg,Water bodies,cobertura
