villages,rgb,thermal
llanchama,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/1bedb9e3fa40b790035a5c05e8952ccf-e72ca1032eb02a0e0b6bf10158e904a0/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/4900250240b2979e40d7677c3d21e8fe-dc12a9228f2b3be057adf47183f87008/tiles/{z}/{x}/{y}
12 de abril,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/88f7f36da5052e52ecf2ee19719f1d99-b322fb08c56144df3c5447ddd3adc1c2/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/c221f0a612ac91ed4a6c197cb27aa9dc-b05305e4adc1926502339b63e0a4c86d/tiles/{z}/{x}/{y}
23 de febrero,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/b12a10d3329020fc0a0ca6fabd28a4ea-e545974904af5bb5f400863938e211cc/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/f3ceef1db6ce25dd85ac86ac7f93f118-7293c87935be625c5150071aae3288fb/tiles/{z}/{x}/{y}
quistococha,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/56abf601e4d05a98f4a41bc2eca1b5a8-2efadfef27bdd99ad5c82efec7177887/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/010e759c471b3ccdbba552f21ef899ce-39235de84c61c2dee836d281131732dc/tiles/{z}/{x}/{y}
san carlos,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/c82b2e0888deb099738876b3e42025eb-46279cf44f7d531d1ce19d2fe42599c4/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/7d60e19f17dacfa3848f17b78762c025-400d17311964b7185fd73a0c9b1ef2fe/tiles/{z}/{x}/{y}
el paujil,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/e2b26a668524b2599b98dbbe688038b3-25c37ddf36581f4e72004e71575dbd8f/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/506ac42ff6adc744ec4d3efa8a2c1d6f-c642168c082889657db57e23ba6a3f30/tiles/{z}/{x}/{y}
san lucas,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/8065c62be1fcae0259ecb4a406e24db0-c96e90675b23ae10544e0992d9a7d3d7/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/75ec83db358555791903f2bc6a8dde62-fb26ea8d9ff9b8cf36c75c49e4d46f76/tiles/{z}/{x}/{y}
zungarococha,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/dd9bf2ef93f37bb4ef25dd207233d676-0ac9f3b388bfd3f85e844b9eadfd3fc4/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/2895d953b1d2d5fcc5559c67bfc3058c-1f8ce5974661ce8e72c437eefd54c38f/tiles/{z}/{x}/{y}
cahuide 01,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/11303093f9fa05aeada8a941a9e4dabf-97004a8b0b04e37463eeb77848005852/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/c9d7742144d9d7f6fb45823c9d49c4ba-c4511c6de3de95f1cb534643cfe57aec/tiles/{z}/{x}/{y}
cahuide 02,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/f1f6396e053f3640f66c5e53d450ad33-c7b40b0a368ec4207c05ab0e8d399584/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/f480df0f70adbd3c29cb99bc94408480-2f1b200ef06975289606a04ef44e6cac/tiles/{z}/{x}/{y}
cahuide 03,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/3057475bfde6cd151243295a601af5a2-8d107349b74ae32d74837ebf9209407d/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/f448c881450a36f69e2ddbe4c8efffa3-4f358b35cf8195244f61d11c657989d6/tiles/{z}/{x}/{y}
el varillal 01,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/194ef74fa0203b71246d01dfde56a565-8c9cc4cba1558bb3c943a62ccbbe66b7/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/999c891e36a4af8023f56c67a96ef404-c0afa6810846385d2cfa77cae91270a1/tiles/{z}/{x}/{y}
el varillal 02,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/044bd0b533742f9f27098082b684fe6e-cb78896cc91970cd8b1abb262e336277/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/5e962319819148546f6b39ce75d0ec28-e83d8fcf099f95e9fe83f6cc2d4b63d5/tiles/{z}/{x}/{y}
el varillal 03,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/d16ce964142698b27b7926c4c6dfbd8f-ee88be5f3833460e865d58fb2f7bdfc4/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/earthengine-legacy/maps/712cb0635a312069a9270a8b8e6094b4-867ffb16d9b91390f377b992c5ea3e08/tiles/{z}/{x}/{y}
