ubigeo,nomcp,dep,prov,dist,ubigeocp,lng,lat,group
160113,PEÑA NEGRA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130022,-73.336776,-3.863147,INNOVALAB
160113,PUERTO ALMENDRAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130004,-73.378019,-3.831725,INNOVALAB
160113,UNION PROGRESO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130070,-73.338717,-3.856809,INNOVALAB
160113,NINA RUMI,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130005,-73.385881,-3.84476,INNOVALAB
160113,NUEVA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130027,-73.413631,-3.906268,INNOVALAB
160113,MORALILLO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130025,-73.340366,-3.915436,INNOVALAB
160113,BUENA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130063,-73.322513,-3.898959,INNOVALAB
160113,SANTA BARBARA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130064,-73.329072,-3.944115,INNOVALAB
160113,SAN CARLOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130065,-73.345052,-3.95913,INNOVALAB
160113,EL DORADO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130028,-73.40642,-3.954165,INNOVALAB
160113,NUEVO MILAGRO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130034,-73.374641,-3.938261,INNOVALAB
160113,VILLA EL BUEN PASTOR,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130036,-73.362468,-3.94906,INNOVALAB
160113,SAN JOSE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130026,-73.391568,-3.931736,INNOVALAB
160113,3 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130012,-73.361572,-3.966216,INNOVALAB
160113,BELEN DE JUDA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130013,-73.384126,-3.978227,INNOVALAB
160113,13 DE FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130031,-73.433988,-4.01441,INNOVALAB
160113,5 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130020,-73.39309,-4.003298,INNOVALAB
160113,PAUJIL II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130030,-73.469968,-4.00331,INNOVALAB
160113,24 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,-73.423672,-4.02111,INNOVALAB
160113,NUEVO HORIZONTE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130033,-73.445628,-4.071663,INNOVALAB
160113,EX PETROLEROS II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,-73.47498,-4.064827,INNOVALAB
160113,EX PETROLERO I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130037,-73.453248,-4.0946109999999996,INNOVALAB
160113,SAN PEDRO PINTUYACU,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130040,-73.402808,-4.103035,INNOVALAB
160113,SAN LUCAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130045,-73.454582,-4.103997,INNOVALAB
160113,UNION,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130043,-73.415961,-4.127523,INNOVALAB
160113,10 DE OCTUBRE I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130044,-73.448246,-4.123837,INNOVALAB
160113,CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130056,-73.487435,-4.230846,INNOVALAB
160113,EL TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130046,-73.47431,-4.154149,INNOVALAB
160113,12 DE ABRIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,-73.483968,-4.219298,INNOVALAB
160113,HABANA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130049,-73.479276,-4.203191,INNOVALAB
160113,NUEVO MIRAFLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130054,-73.466734,-4.223144,INNOVALAB
160113,12 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130057,-73.548449,-4.246472,INNOVALAB
160113,ANGEL CARDENAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130074,-73.426447,-4.05018,INNOVALAB
160113,CREACION 2000,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130077,-73.395123,-4.082073,INNOVALAB
160113,NUEVO TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130078,-73.497835,-4.126287,INNOVALAB
