ubigeocp,poblacion,cases_2010,cases_2019
1601010001,144463,138,118
1601010002,607,5,64
1601010003,86,1,1
1601010004,161,23,217
1601010005,134,17,17
1601010006,41,1,2
1601010007,181,0,1
1601010008,101,0,1
1601010009,76,2,0
1601010010,164,24,61
1601010011,150,1,1
1601010012,228,21,37
1601010013,10,8,5
1601010014,23,51,1
1601010015,56,20,8
1601010017,88,21,8
1601010018,237,149,12
1601010019,47,0,0
1601020001,732,158,135
1601020003,95,9,2
1601020004,44,9,0
1601020005,56,17,1
1601020008,0,0,1
1601020012,63,1,2
1601020016,17,0,1
1601020018,73,117,12
1601020027,309,45,144
1601020030,136,0,1
1601020034,33,17,10
1601020036,22,1,6
1601020040,0,0,0
1601020042,72,1,1
1601020043,159,0,1
1601020044,438,9,159
1601020045,56,24,12
1601020046,64,0,0
1601020050,58,11,11
1601020051,10,1,4
1601020052,1,0,0
1601020055,9,5,130
1601020056,408,0,0
1601030001,6181,13,4
1601030002,21,0,0
1601030005,35,0,0
1601030008,25,0,0
1601030009,41,1,0
1601030011,34,1,0
1601030012,42,0,0
1601030013,14,0,0
1601030014,148,0,0
1601030015,47,0,0
1601030017,40,0,0
1601030018,86,2,0
1601030019,23,0,1
1601030020,49,0,0
1601030021,82,1,0
1601030023,214,3,0
1601030024,95,0,0
1601030026,73,0,0
1601030027,34,0,0
1601030028,172,0,0
1601030029,122,2,0
1601030030,62,0,0
1601030031,31,0,0
1601030032,28,0,0
1601030033,35,0,0
1601030034,71,0,0
1601030035,10,0,0
1601030036,47,0,0
1601030037,80,0,0
1601030038,26,0,0
1601030039,62,1,11
1601030040,5,0,0
1601030041,32,1,0
1601030042,17,0,0
1601030043,49,0,0
1601030044,233,0,0
1601030045,17,1,0
1601030046,6,0,0
1601030047,55,0,0
1601030048,51,1,0
1601030049,13,1,0
1601030050,85,4,0
1601030051,39,0,0
1601030052,11,0,0
1601030053,44,1,0
1601030054,69,0,0
1601030055,6,0,0
1601030056,45,0,1
1601030057,64,0,0
1601030058,14,0,0
1601030059,13,0,0
1601030060,59,1,0
1601030061,5,0,0
1601030062,14,0,0
1601030063,19,0,0
1601030064,50,0,0
1601030065,38,0,0
1601030066,91,0,0
1601030067,19,0,0
1601030068,126,0,0
1601030069,84,1,0
1601030070,115,1,0
1601030071,4,0,0
