ubigeocp,dengue,malaria,leptospirosis
1601130022,16,4,11
1601130004,0,28,0
1601130070,0,1,0
1601130005,0,73,0
1601130027,0,1,0
1601130025,0,8,1
1601130063,0,0,0
1601130064,0,1,2
1601130065,0,0,1
1601130028,0,1,0
1601130034,0,10,0
1601130036,1,51,0
1601130026,2,2,1
1601130012,0,0,0
1601130013,0,0,0
1601130031,2,3,1
1601130020,0,0,0
1601130030,0,0,0
1601130029,0,0,0
1601130033,0,8,0
1601130039,0,0,0
1601130037,1,19,0
1601130040,0,0,0
1601130045,0,8,0
1601130043,0,0,0
1601130044,0,0,0
1601130056,12,2,2
1601130046,0,2,0
1601130055,1,1,0
1601130049,0,0,0
1601130054,0,0,0
1601130057,0,0,0
1601130074,0,1,0
1601130077,0,0,0
1601130078,0,3,0
1601130079,0,0,0
1601130082,0,0,0
1601130083,0,4,2
1601130084,0,0,0
1601130086,0,0,0
1601130088,0,1,0
1601130089,0,0,0
1601130090,0,0,0
1601130097,1,0,0
1601130069,18,8,44
1601130093,2,8,1
1603010041,0,0,0
1603010024,0,0,0
1603010099,0,0,0
1603010101,0,0,0
1603010001,202,145,138
1601120049,8,7,25
1601120076,0,1,0
1601130098,0,0,1
1601130099,0,1,0
1601130006,0,74,1
1601130024,14,156,11
1601130032,1,19,0
1601130018,6,14,0
1601130017,18,20,28
