ubigeocp,pr_2010,pr_2021,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2010,def_2021,ghsl_2010,ghsl_2020,ln_2021,ln_2014
1601130022,1711.0184708,3003.5228286,1973.7409131,777.1561355,487.1143211,420.4041497,377.2085273,377.6035159,262.171343,262.5663316,31.03127380909091,31.682306454545454,0.2184728,0.2177948,2.7544162,1.5144129,0.711237,0.8495356,6272.2658119,8133.4476984,2.3925664,1.4091731
1601130004,1709.9999505,3005.5606713,1975.6000297,776.5313629,478.9061934,413.7691222,378.4208575,378.7052181,262.3170652,262.6014258,30.889054345454547,30.846907945454547,0.2185268,0.2178004,1.1825184,0.6682649,1.0140521,0.6464356,4393.5828338,5587.2220441,1.6253562,1.1789836
1601130070,1711.9085867,3004.7093196,1974.6008715,777.9957413,485.8812172,419.2018471,377.3746063,377.763504,262.1727444,262.5616421,30.845587781818185,31.547246463636363,0.2184848,0.2178044,2.7881847,1.5185936,0.8757627,0.852955,6925.6063029,8950.4983471,2.5993518,1.5723015
1601130005,1708.4925676,3006.0720939,1975.999455,775.4281043,480.6200872,415.7574125,378.236369,378.5011347,262.2708106,262.5355763,31.319500354545458,31.032016018181817,0.2185641,0.2178143,0.8219515,0.6272721,0.7689865,0.8386991,2752.292138,3661.7422591,1.3249509,0.8608395
1601130027,1703.0425047,3005.3332012,1979.643119,774.2021698,488.3264243,424.520539,377.3908055,377.6935252,261.7465471,262.0492668,31.87550771818182,31.390983072727273,0.2179684,0.2171179,0.2940602,0.2365681,0.1041197,0.6262015,266.3736965,554.9882982,0.7725369,0.3908181
1601130025,1701.1881379,2994.0660985,1966.5732336,767.3837578,495.1489248,429.0367159,376.5606729,377.1028293,262.291864,262.8340204,32.50805326363636,33.137982054545454,0.2182433,0.2175433,1.1486127,0.7811473,0.4089672,0.9796631,1133.255099,1880.4920346,0.9842637,0.4837534
1601130063,1702.4016056,2991.5530006,1964.5741117,769.9827048,494.0549482,427.3423658,376.6481738,377.1477576,262.5321027,263.0316864,32.62990984545455,33.222978681818184,0.2184038,0.2177498,1.3856695,0.9444239,0.4552009,0.7310387,1104.7785792,1723.3736114,1.2451037,0.5479068
1601130064,1694.6661058,2985.5041322,1958.7553323,761.7135151,499.9274954,434.1001485,376.6348741,377.3634137,262.779997,263.5085366,32.5317985,33.39096276363637,0.2182245,0.2175428,0.5727703,0.5001357,0.3043442,0.6224651,238.1486961,634.5475146,0.7382299,0.3441574
1601130065,1692.8776137,2984.9153701,1958.3824695,759.8125062,500.9460708,435.6082252,376.7245169,377.5052423,262.6905411,263.4712665,32.48192695454546,33.110634181818185,0.2181532,0.2174355,0.5562915,0.4652877,0.5550438,0.7087396,378.1151346,800.938156,0.7467126,0.340623
1601130028,1698.1363299,2997.2832533,1972.7488738,767.4091382,495.442785,431.310841,377.006861,377.4966338,261.8811197,262.3708925,32.035491709090905,31.90046691818182,0.2175948,0.2167523,0.5294893,0.3033259,0.584199,0.5415549,770.6002379,1666.7143104,0.8318282,0.4926375
1601130034,1700.3967696,2998.0975078,1971.4787693,767.5107764,495.6623545,430.5463311,376.7063023,377.2918545,261.9441213,262.5296735,32.11015834545454,32.37110878181818,0.2179974,0.2172507,0.6840985,0.4770663,0.5974134,0.927427,726.1420929,1762.3015207,0.8712194,0.5111191
1601130036,1697.1551306,2992.5145915,1965.9016499,763.8887182,498.1016499,432.7999009,376.7067879,377.3862706,262.2597037,262.9391864,32.34262319090909,32.674062681818185,0.2180965,0.217375,0.73568770000000006,0.5060649,0.6248321,0.7988027,748.8538553,1702.2274486,0.83656,0.502072
1601130026,1701.5449371,3001.1153123,1975.3038206,770.2562605,493.4020934,428.8071315,376.8933535,377.3627586,261.8044789,262.273884,31.94620559090909,31.83012259090909,0.2178422,0.2170491,0.57298,0.3972735,0.463028,0.798444,697.0703003,1623.6474351,0.8594224,0.4879317
1601130012,1693.2473246,2986.0955707,1959.7917658,759.8947681,500.7274376,435.5174841,376.8644075,377.6051526,262.5652101,263.3059552,32.54520169090909,32.798331227272726,0.2181697,0.2174368,0.6192411,0.4431963,0.7182167,0.7273676,520.2393441,1263.5534306,0.7803814,0.4570114
1601130013,1692.3494525,2984.81202,1958.7281871,759.1783184,500.9015359,435.9633404,377.1776693,377.8384333,262.5741664,263.2349304,32.83511859090909,32.69223199090909,0.2180391,0.2172351,0.5707309,0.3686192,0.8356661,0.7296717,614.3224869,1608.8268191,0.7858434,0.4638509
