ubigeo,cluster
1601130022,1
1601130004,2
1601130070,1
1601130005,2
1601130024,1
1601130027,2
1601130025,2
1601130063,2
1601130064,2
1601130065,2
1601130028,2
1601130034,2
1601130036,2
1601130026,2
1601130012,2
1601130013,2
1601130031,3
1601130020,2
1601130032,3
1601130030,3
1601130029,3
1601130033,3
1601130039,3
1601130037,3
1601130040,3
1601130045,3
1601130043,3
1601130044,4
1601130056,4
1601130046,4
1601130055,4
1601130049,4
1601130054,4
1601130057,4
1601130018,1
1601130074,3
1601130077,3
1601130078,4
1601130079,4
1601130082,4
1601130083,4
1601130084,4
1601130086,4
1601130088,4
1601130089,4
1601130090,4
1601130097,1
1601130017,1
1601130069,1
1601130093,1
1603010024,4
1603010099,4
1601120049,2
1601120076,2
1601130098,1
1601130099,3
