UBIGEO,DEP,PROV,DIST,CPINEI,GROUP,NOMCP,LAT,LNG,LEPTO,MALARIA,DENGUE,pr_mean,ro_mean,soil_mean,tmax_mean,tmin_mean,etp_mean,humidity_mean,def_mean,gsh_mean,ln_mean,pop_mean,pr_diff,ro_diff,soil_diff,tmax_diff,tmin_diff,etp_diff,humidity_diff,def_diff,gsh_diff,ln_diff,pop_diff,ubigeo,hc_group_4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130078,INNOVALAB,NUEVO TRIUNFO,-4.12637,-73.49824911,0,0,0,2281.679107,1301.009089,477.2199886,379.4477661,263.3547799,32.92115243,0.2168871,0.81398365,105.3336291,0.52534525,0.2297748,73.73921176,155.160622,13.34574333,-0.143058699,-0.206057329,-3.481561772,0.612881519,8.882871196,222.0632796,161.3405453,20.44596755,1601130078,4
160301,LORETO,LORETO,NAUTA,1603010008,INNOVALAB,VILLA PUERTO CRUZ,-4.35176441,-73.4724074,0,0,0,2204.89907,1216.742222,487.8333704,381.7134392,264.9791908,34.11539177,0.2182833,0.185157,40.1111621,0.35538135,0.13920235,70.64311342,157.4257906,7.291496334,-0.204522963,-0.294491083,-3.980094941,0.77141488,24.53832833,300.5604886,93.05572392,-34.10675384,1601130098,1
160103,LORETO,MAYNAS,FERNANDO LORES,1601030096,INNOVALAB,SANTA CATALINA,-4.19140175,-73.36416549,0,0,0,2248.641683,1261.411485,488.380297,379.4702179,264.5262278,34.77330707,0.21878035,0.51429895,121.3711292,0.45222895,0.12038605,71.91745047,154.422046,11.74409506,-0.173093146,-0.248213578,-3.94420574,0.531851269,-21.76441803,100.7114926,81.29026339,9.767060142,1601130088,4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130079,INNOVALAB,EL HUAMBE,-4.15732076,-73.50460929,0,0,0,2270.628792,1290.285545,480.2708938,379.8004281,263.5513609,32.97302414,0.21678075,0.72903325,92.8346016,0.49911255,0.2322056,73.02943172,154.3088268,13.14245348,-0.130955098,-0.188663157,-2.354103238,0.629939551,-23.64369378,100.9008072,155.9972183,21.67524977,1601130079,4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130090,INNOVALAB,SAN MARTIN II ZONA,-4.17876023,-73.43807024,0,0,0,2265.104527,1286.229342,484.3761109,379.785047,264.2751064,33.24582901,0.21757195,0.49312875,92.34846755,0.50261145,0.2229566,72.57519547,153.3367505,13.0114289,-0.136521445,-0.196134019,-4.285763539,0.591849905,8.126483385,123.4501182,154.8584888,13.06902534,1601130090,4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,INNOVALAB,12 DE ABRIL,-4.21977635,-73.4838013,0,5,0,2246.20795,1265.558791,484.6550817,380.7258717,264.6181501,33.07540103,0.2173842,0.62394435,268.9987381,0.411964,0.3086215,71.84090689,153.8468836,12.01702422,-0.171038031,-0.245992869,-3.717535093,0.667123601,-23.29038019,21.66618851,79.7597523,31.99024897,1601130055,4
160301,LORETO,LORETO,NAUTA,1603010099,INNOVALAB,1 DE FEBRERO,-4.35713803,-73.55274867,0,0,0,2199.392557,1214.774498,496.6672746,381.3501114,263.9546298,32.25378774,0.21648295,0.3692377,74.8647603,0.3578355,0.2809451,69.80095097,154.6732018,8.836653324,-0.170408165,-0.246104969,-0.659478545,0.820367108,-33.64404,32.05315394,59.96418401,5.746652943,1603010099,4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130089,INNOVALAB,23 DE FEBRERO,-4.149769549,-73.45847309,0,0,0,2276.487876,1296.240362,480.8528727,379.6977384,264.0994557,33.18887754,0.21749735,0.80617455,174.1833895,0.52829525,0.26827,73.32033565,154.4927022,13.49938041,-0.144207787,-0.20726315,-1.649331725,0.582156455,-25.89607663,101.5651714,179.5798503,25.74457549,1601130089,4
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,INNOVALAB,EX PETROLEROS II ZONA,-4.064826667,-73.47498,0,0,0,2307.916625,1327.83444,471.6988804,378.6662266,263.0658006,32.9077128,0.2171217,0.6366267,822.3636098,0.61937615,0.3388386,75.15106106,157.0245462,13.8177944,-0.142753183,-0.205419593,-2.173109505,0.515414409,-65.63784523,44.88633925,138.4315764,67.44095737,1601130039,3
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,INNOVALAB,24 DE JUNIO,-4.02122282,-73.42372517,0,0,0,2327.391647,1345.061237,470.9815919,378.0836406,263.0596215,33.29263903,0.2173792,0.64876695,737.3886655,0.5013347,0.43068315,76.01271879,158.3301579,14.5308047,-0.140986389,-0.202570892,1.151896325,0.459514877,-27.50977685,68.64027799,109.2792466,57.31060762,1601130029,3
