fid,CODIGO,DEPARTAMEN,PROVINCIA,DISTRITO,LONGITUD,LATITUD,POBLACION,DESCRIPCIO,2010,2019,absol.2019_2010,relat.2019_2010
1,1601010001,LORETO,MAYNAS,IQUITOS,-73.24413746,-3.74808497,144463,IQUITOS,138,118,-20,-14.49275362
2,1601010002,LORETO,MAYNAS,IQUITOS,-73.28432859,-3.71721373,607,MANACAMIRI,5,64,59,1180
3,1601010003,LORETO,MAYNAS,IQUITOS,-73.31630833,-3.71580667,86,FRAY MARTIN,1,1,0,0
4,1601010004,LORETO,MAYNAS,IQUITOS,-73.32407167,-3.73310333,161,SANTA RITA,23,217,194,843.4782609
5,1601010005,LORETO,MAYNAS,IQUITOS,-73.32446833,-3.74441,134,SAN JOSE DE LUPUNA,17,17,0,0
6,1601010006,LORETO,MAYNAS,IQUITOS,-73.36712333,-3.74159167,41,TRES UNIDOS,1,2,1,100
7,1601010007,LORETO,MAYNAS,IQUITOS,-73.37676333,-3.76589333,181,SAN PABLO DE CUYANA,0,1,1,Inf
8,1601010008,LORETO,MAYNAS,IQUITOS,-73.40428833,-3.775555,101,HUATURI,0,1,1,Inf
9,1601010009,LORETO,MAYNAS,IQUITOS,-73.39489,-3.74167833,76,LOBOYACU,2,0,-2,-100
10,1601010010,LORETO,MAYNAS,IQUITOS,-73.33565333,-3.75268167,164,SAN PEDRO,24,61,37,154.1666667
11,1601010011,LORETO,MAYNAS,IQUITOS,-73.40540167,-3.804715,150,TARAPOTO,1,1,0,0
12,1601010012,LORETO,MAYNAS,IQUITOS,-73.46081333,-3.81795,228,LIBERTAD,21,37,16,76.19047619
13,1601010013,LORETO,MAYNAS,IQUITOS,-73.499345,-3.83313,10,AYACUCHO,8,5,-3,-37.5
14,1601010014,LORETO,MAYNAS,IQUITOS,-73.56143,-3.84387167,23,YARINA,51,1,-50,-98.03921569
15,1601010015,LORETO,MAYNAS,IQUITOS,-73.58331667,-3.85649667,56,LAGUNAS,20,8,-12,-60
16,1601010017,LORETO,MAYNAS,IQUITOS,-73.57273,-3.859075,88,MARAVILLA,21,8,-13,-61.9047619
17,1601010018,LORETO,MAYNAS,IQUITOS,-73.49522333,-3.83361167,237,SHIRIARA,149,12,-137,-91.94630872
18,1601010019,LORETO,MAYNAS,IQUITOS,-73.408195,-3.75182667,47,8 DE OCTUBRE,0,0,0,NA
19,1601020001,LORETO,MAYNAS,ALTO NANAY,-73.69754417,-3.88847025,732,SANTA MARIA DE NANAY,158,135,-23,-14.55696203
