fid,IDCCPP_17,NOMCCPP_17,AREA_17,UBIGEO,CODCCPP,DEPARTAMEN,PROVINCIA,DISTRITO,Pv,Pf,Total,Dengue,Lepto
71666,1601130022,PEÑA NEGRA,2,160113,22,LORETO,MAYNAS,SAN JUAN BAUTISTA,7,0,7,8,3
71667,1601130004,PUERTO ALMENDRAS,2,160113,4,LORETO,MAYNAS,SAN JUAN BAUTISTA,22,0,22,0,0
71668,1601130070,UNION PROGRESO,2,160113,70,LORETO,MAYNAS,SAN JUAN BAUTISTA,1,0,1,0,0
71669,1601130005,NINA RUMI,2,160113,5,LORETO,MAYNAS,SAN JUAN BAUTISTA,68,0,68,0,0
71670,1601130024,VARILLAL,2,160113,24,LORETO,MAYNAS,SAN JUAN BAUTISTA,108,0,108,11,11
71672,1601130027,NUEVA ESPERANZA,2,160113,27,LORETO,MAYNAS,SAN JUAN BAUTISTA,1,0,1,0,0
71674,1601130025,MORALILLO,2,160113,25,LORETO,MAYNAS,SAN JUAN BAUTISTA,8,0,8,0,1
71675,1601130063,BUENA ESPERANZA,2,160113,63,LORETO,MAYNAS,SAN JUAN BAUTISTA,1,0,1,0,1
71676,1601130064,SANTA BARBARA,2,160113,64,LORETO,MAYNAS,SAN JUAN BAUTISTA,0,0,0,1,15
71677,1601130065,SAN CARLOS,2,160113,65,LORETO,MAYNAS,SAN JUAN BAUTISTA,1,0,1,1,3
71678,1601130028,EL DORADO,2,160113,28,LORETO,MAYNAS,SAN JUAN BAUTISTA,1,0,1,0,0
71679,1601130034,NUEVO MILAGRO,2,160113,34,LORETO,MAYNAS,SAN JUAN BAUTISTA,16,0,16,0,0
71680,1601130036,VILLA EL BUEN PASTOR,2,160113,36,LORETO,MAYNAS,SAN JUAN BAUTISTA,17,0,17,1,1
71681,1601130026,SAN JOSE,2,160113,26,LORETO,MAYNAS,SAN JUAN BAUTISTA,3,0,3,2,1
71683,1601130012,3 DE OCTUBRE,2,160113,12,LORETO,MAYNAS,SAN JUAN BAUTISTA,0,0,0,0,0
71684,1601130013,BELEN DE JUDA,2,160113,13,LORETO,MAYNAS,SAN JUAN BAUTISTA,0,0,0,0,0
