"","codigo","2010","2019","absol.2019_2010","relat.2019_2010","DEPARTAMEN","PROVINCIA","DISTRITO","LONGITUD","LATITUD","POBLACION"
"1",1601120049,17,4,-13,-76.4705882352941,"LORETO","MAYNAS","BELEN",-73.32015978,-3.93563968,147
"2",1601120076,0,0,0,NA,"LORETO","MAYNAS","BELEN",-73.31897712,-3.88145797,25
"3",1601130004,18,35,17,94.4444444444444,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.37801906,-3.83172497,201
"4",1601130005,29,88,59,203.448275862069,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.38588097,-3.84475954,672
"5",1601130012,0,0,0,NA,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.36157189,-3.96621618,35
"6",1601130013,0,0,0,NA,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.38412631,-3.97822655,23
"7",1601130017,85,59,-26,-30.5882352941176,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.32617853,-3.82299905,2172
"8",1601130018,120,134,14,11.6666666666667,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.35497278,-3.82858323,813
"9",1601130020,0,0,0,NA,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.39309,-4.00329833,31
"10",1601130022,1,4,3,300,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.33677619,-3.86314736,736
"11",1601130024,9,64,55,611.111111111111,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.3514168,-3.88769028,743
"12",1601130025,2,2,0,0,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.34036587,-3.91543623,201
"13",1601130026,1,2,1,100,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.39156817,-3.93173572,123
"14",1601130027,1,0,-1,-100,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.41363058,-3.90626751,36
"15",1601130028,2,1,-1,-50,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-73.40641991,-3.95416547,90
